vvento,N,ang_virab,pressao,VPP
"3,5","13,73","0,00000000","0,00000000","0,4750"
"3,5","13,73","0,01238147","0,00000000","0,4750"
"3,5","13,73","0,02476294","0,00000000","0,4750"
"3,5","13,73","0,03714442","0,00000000","0,4750"
"3,5","13,73","0,04952589","0,00000000","0,4750"
"3,5","13,73","0,06190736","0,00000000","0,4750"
"3,5","13,73","0,07428883","0,00000000","0,4750"
"3,5","13,73","0,08667031","0,00000000","0,4750"
"3,5","13,73","0,09905178","0,00000000","0,4750"
"3,5","13,73","0,11143325","0,00000000","0,4750"
"3,5","13,73","0,12381472","0,00000000","0,4750"
"3,5","13,73","0,13619619","0,00000000","0,4750"
"3,5","13,73","0,14857767","0,00000000","0,4750"
"3,5","13,73","0,16095914","0,00000000","0,4750"
"3,5","13,73","0,17334061","0,00000000","0,4750"
"3,5","13,73","0,18572208","0,00000000","0,4750"
"3,5","13,73","0,19810356","0,00000000","0,4750"
"3,5","13,73","0,21048503","0,00000000","0,4750"
"3,5","13,73","0,22286650","0,00000000","0,4750"
"3,5","13,73","0,23524797","0,00000000","0,4750"
"3,5","13,73","0,24762944","0,00000000","0,4750"
"3,5","13,73","0,26001092","0,00000000","0,4750"
"3,5","13,73","0,27239239","0,00000000","0,4750"
"3,5","13,73","0,28477386","0,00000000","0,4750"
"3,5","13,73","0,29715533","0,00000000","0,4750"
"3,5","13,73","0,30953681","0,00000000","0,4750"
"3,5","13,73","0,32191828","0,00000000","0,4750"
"3,5","13,73","0,33429975","0,00000000","0,4750"
"3,5","13,73","0,34668122","0,00000000","0,4750"
"3,5","13,73","0,35906269","0,00000000","0,4750"
"3,5","13,73","0,37144417","0,00000000","0,4750"
"3,5","13,73","0,38382564","0,00000000","0,4750"
"3,5","13,73","0,39620711","0,00000000","0,4750"
"3,5","13,73","0,40858858","0,00000000","0,4750"
"3,5","13,73","0,42097006","0,00000000","0,4750"
"3,5","13,73","0,43335153","0,00000000","0,4750"
"3,5","13,73","0,44573300","0,00000000","0,4750"
"3,5","13,73","0,45811447","0,00000000","0,4750"
"3,5","13,73","0,47049594","0,00000000","0,4750"
"3,5","13,73","0,48287742","0,00000000","0,4750"
"3,5","13,73","0,49525889","0,00000000","0,4750"
"3,5","13,73","0,50764036","0,00000000","0,4750"
"3,5","13,73","0,52002183","0,00000000","0,4750"
"3,5","13,73","0,53240331","0,00000000","0,4750"
"3,5","13,73","0,54478478","0,00000000","0,4750"
"3,5","13,73","0,55716625","0,00000000","0,4750"
"3,5","13,73","0,56954772","0,00000000","0,4750"
"3,5","13,73","0,58192919","0,00000000","0,4750"
"3,5","13,73","0,59431067","0,00000000","0,4750"
"3,5","13,73","0,60669214","0,00000000","0,4750"
"3,5","13,73","0,61907361","0,00000000","0,4750"
"3,5","13,73","0,63145508","0,00000000","0,4750"
"3,5","13,73","0,64383656","0,00000000","0,4750"
"3,5","13,73","0,65621803","0,00000000","0,4750"
"3,5","13,73","0,66859950","0,00000000","0,4750"
"3,5","13,73","0,68098097","0,00000000","0,4750"
"3,5","13,73","0,69336244","0,00000000","0,4750"
"3,5","13,73","0,70574392","0,00000000","0,4750"
"3,5","13,73","0,71812539","0,00000000","0,4750"
"3,5","13,73","0,73050686","0,00000000","0,4750"
"3,5","13,73","0,74288833","0,00000000","0,4750"
"3,5","13,73","0,75526981","0,00000000","0,4750"
"3,5","13,73","0,76765128","0,00000000","0,4750"
"3,5","13,73","0,78003275","0,00000000","0,4750"
"3,5","13,73","0,79241422","0,00000000","0,4750"
"3,5","13,73","0,80479569","0,00000000","0,4750"
"3,5","13,73","0,81717717","0,00000000","0,4750"
"3,5","13,73","0,82955864","0,00000000","0,4750"
"3,5","13,73","0,84194011","0,00000000","0,4750"
"3,5","13,73","0,85432158","0,00000000","0,4750"
"3,5","13,73","0,86670306","0,00000000","0,4750"
"3,5","13,73","0,87908453","0,00000000","0,4750"
"3,5","13,73","0,89146600","0,00000000","0,4750"
"3,5","13,73","0,90384747","0,00000000","0,4750"
"3,5","13,73","0,91622894","0,00000000","0,4750"
"3,5","13,73","0,92861042","0,00000000","0,4750"
"3,5","13,73","0,94099189","0,00000000","0,4750"
"3,5","13,73","0,95337336","0,00000000","0,4750"
"3,5","13,73","0,96575483","0,00000000","0,4750"
"3,5","13,73","0,97813631","0,00000000","0,4750"
"3,5","13,73","0,99051778","0,00000000","0,4750"
"3,5","13,73","1,00289925","0,00000000","0,4750"
"3,5","13,73","1,01528072","0,00000000","0,4750"
"3,5","13,73","1,02766220","0,00000000","0,4750"
"3,5","13,73","1,04004367","0,00000000","0,4750"
"3,5","13,73","1,05242514","0,00000000","0,4750"
"3,5","13,73","1,06480661","0,00000000","0,4750"
"3,5","13,73","1,07718808","0,00000000","0,4750"
"3,5","13,73","1,08956956","0,00000000","0,4750"
"3,5","13,73","1,10195103","0,00000000","0,4750"
"3,5","13,73","1,11433250","0,00000000","0,4750"
"3,5","13,73","1,12671397","0,00000000","0,4750"
"3,5","13,73","1,13909545","0,00000000","0,4750"
"3,5","13,73","1,15147692","0,00000000","0,4750"
"3,5","13,73","1,16385839","0,00000000","0,4750"
"3,5","13,73","1,17623986","0,00000000","0,4750"
"3,5","13,73","1,18862133","0,00000000","0,4750"
"3,5","13,73","1,20100281","0,00000000","0,4750"
"3,5","13,73","1,21338428","0,00000000","0,4750"
"3,5","13,73","1,22576575","0,00000000","0,4750"
"3,5","13,73","1,23814722","0,00000000","0,4750"
"3,5","13,73","1,25052870","0,00000000","0,4750"
"3,5","13,73","1,26291017","0,00000000","0,4750"
"3,5","13,73","1,27529164","0,00000000","0,4750"
"3,5","13,73","1,28767311","0,00000000","0,4750"
"3,5","13,73","1,30005458","0,00000769","0,4750"
"3,5","13,73","1,31243606","0,00002307","0,4750"
"3,5","13,73","1,32481753","0,00005383","0,4750"
"3,5","13,73","1,33719900","0,00012303","0,4750"
"3,5","13,73","1,34958047","0,00019223","0,4750"
"3,5","13,73","1,36196195","0,00027682","0,4750"
"3,5","13,73","1,37434342","0,00038447","0,4750"
"3,5","13,73","1,38672489","0,00053825","0,4750"
"3,5","13,73","1,39910636","0,00079585","0,4750"
"3,5","13,73","1,41148783","0,00110342","0,4750"
"3,5","13,73","1,42386931","0,00148789","0,4750"
"3,5","13,73","1,43625078","0,00195309","0,4750"
"3,5","13,73","1,44863225","0,00247213","0,4750"
"3,5","13,73","1,46101372","0,00306805","0,4750"
"3,5","13,73","1,47339520","0,00377547","0,4750"
"3,5","13,73","1,48577667","0,00457516","0,4750"
"3,5","13,73","1,49815814","0,00548635","0,4750"
"3,5","13,73","1,51053961","0,00652441","0,4750"
"3,5","13,73","1,52292108","0,00768935","0,4750"
"3,5","13,73","1,53530256","0,00898885","0,4750"
"3,5","13,73","1,54768403","0,01041138","0,4750"
"3,5","13,73","1,56006550","0,01198001","0,4750"
