vvento,N,ang_virab,pressao,VPP
"3,5","13,73","1,28932051","0,00003460","0,4750"
"3,5","13,73","1,30170198","0,00013072","0,4750"
"3,5","13,73","1,31408345","0,00026528","0,4750"
"3,5","13,73","1,32646492","0,00042676","0,4750"
"3,5","13,73","1,33884640","0,00062668","0,4750"
"3,5","13,73","1,35122787","0,00094579","0,4750"
"3,5","13,73","1,36360934","0,00130334","0,4750"
"3,5","13,73","1,37599081","0,00174548","0,4750"
"3,5","13,73","1,38837229","0,00224529","0,4750"
"3,5","13,73","1,40075376","0,00284890","0,4750"
"3,5","13,73","1,41313523","0,00354095","0,4750"
"3,5","13,73","1,42551670","0,00431373","0,4750"
"3,5","13,73","1,43789817","0,00539408","0,4750"
"3,5","13,73","1,45027965","0,00655517","0,4750"
"3,5","13,73","1,46266112","0,00777778","0,4750"
"3,5","13,73","1,47504259","0,00921953","0,4750"
"3,5","13,73","1,48742406","0,01080738","0,4750"
"3,5","13,73","1,49980554","0,01254517","0,4750"
"3,5","13,73","1,51218701","0,01442138","0,4750"
"3,5","13,73","1,52456848","0,01645905","0,4750"
"3,5","13,73","1,53694995","0,01865052","0,4750"
"3,5","13,73","1,54933142","0,02101884","0,4750"
"3,5","13,73","1,56171290","0,02355248","0,4750"
"3,5","13,73","1,57409437","0,02624760","0,4750"
"3,5","13,73","1,58647584","0,02913110","0,4750"
"3,5","13,73","1,59885731","0,03220300","0,4750"
"3,5","13,73","1,61123879","0,03547866","0,4750"
"3,5","13,73","1,62362026","0,03897732","0,4750"
"3,5","13,73","1,63600173","0,04273741","0,4750"
"3,5","13,73","1,64838320","0,04673972","0,4750"
"3,5","13,73","1,66076467","0,05098424","0,4750"
"3,5","13,73","1,67314615","0,05549789","0,4750"
"3,5","13,73","1,68552762","0,06027297","0,4750"
"3,5","13,73","1,69790909","0,06533256","0,4750"
"3,5","13,73","1,71029056","0,07066128","0,4750"
"3,5","13,73","1,72267204","0,07628604","0,4750"
"3,5","13,73","1,73505351","0,08219531","0,4750"
"3,5","13,73","1,74743498","0,08837755","0,4750"
"3,5","13,73","1,75981645","0,09489812","0,4750"
"3,5","13,73","1,77219792","0,10174933","0,4750"
"3,5","13,73","1,78457940","0,10893887","0,4750"
"3,5","13,73","1,79696087","0,11647828","0,4750"
"3,5","13,73","1,80934234","0,12440215","0,4750"
"3,5","13,73","1,82172381","0,13267974","0,4750"
"3,5","13,73","1,83410529","0,14129566","0,4750"
"3,5","13,73","1,84648676","0,15028835","0,4750"
"3,5","13,73","1,85886823","0,15968089","0,4750"
"3,5","13,73","1,87124970","0,16947328","0,4750"
"3,5","13,73","1,88363117","0,17968089","0,4750"
"3,5","13,73","1,89601265","0,19033449","0,4750"
"3,5","13,73","1,90839412","0,20144175","0,4750"
"3,5","13,73","1,92077559","0,21292964","0,4750"
"3,5","13,73","1,93315706","0,22472126","0,4750"
"3,5","13,73","1,94553854","0,23688197","0,4750"
"3,5","13,73","1,95792001","0,24925029","0,4750"
"3,5","13,73","1,97030148","0,26173779","0,4750"
"3,5","13,73","1,98268295","0,27420223","0,4750"
"3,5","13,73","1,99506442","0,28684737","0,4750"
"3,5","13,73","2,00744590","0,29962707","0,4750"
"3,5","13,73","2,01982737","0,31262207","0,4750"
"3,5","13,73","2,03220884","0,32580930","0,4750"
"3,5","13,73","2,04459031","0,33918493","0,4750"
"3,5","13,73","2,05697179","0,35281046","0,4750"
"3,5","13,73","2,06935326","0,36630142","0,4750"
"3,5","13,73","2,08173473","0,38008074","0,4750"
"3,5","13,73","2,09411620","0,39418685","0,4750"
"3,5","13,73","2,10649767","0,40831219","0,4750"
"3,5","13,73","2,11887915","0,42260669","0,4750"
"3,5","13,73","2,13126062","0,43712803","0,4750"
"3,5","13,73","2,14364209","0,45189158","0,4750"
"3,5","13,73","2,15602356","0,46682814","0,4750"
"3,5","13,73","2,16840504","0,48198385","0,4750"
"3,5","13,73","2,18078651","0,49734717","0,4750"
"3,5","13,73","2,19316798","0,51293349","0,4750"
"3,5","13,73","2,20554945","0,52880046","0,4750"
"3,5","13,73","2,21793093","0,54490965","0,4750"
"3,5","13,73","2,23031240","0,56124183","0,4750"
"3,5","13,73","2,24269387","0,57773549","0,4750"
"3,5","13,73","2,25507534","0,59438293","0,4750"
"3,5","13,73","2,26745681","0,61114956","0,4750"
"3,5","13,73","2,27983829","0,62797770","0,4750"
"3,5","13,73","2,29221976","0,64494425","0,4750"
"3,5","13,73","2,30460123","0,66200308","0,4750"
"3,5","13,73","2,31698270","0,67917724","0,4750"
"3,5","13,73","2,32936418","0,69639369","0,4750"
"3,5","13,73","2,34174565","0,71369858","0,4750"
"3,5","13,73","2,35412712","0,73106498","0,4750"
"3,5","13,73","2,36650859","0,74850442","0,4750"
"3,5","13,73","2,37889006","0,76603614","0,4750"
"3,5","13,73","2,39127154","0,78352557","0,4750"
"3,5","13,73","2,40365301","0,80099193","0,4750"
"3,5","13,73","2,41603448","0,81844675","0,4750"
"3,5","13,73","2,42841595","0,83589773","0,4750"
"3,5","13,73","2,44079743","0,85324875","0,4750"
"3,5","13,73","2,45317890","0,87060746","0,4750"
"3,5","13,73","2,46556037","0,88795079","0,4750"
"3,5","13,73","2,47794184","0,90522107","0,4750"
"3,5","13,73","2,49032331","0,92236832","0,4750"
"3,5","13,73","2,50270479","0,93940408","0,4750"
"3,5","13,73","2,51508626","0,95628604","0,4750"
"3,5","13,73","2,52746773","0,97295271","0,4750"
"3,5","13,73","2,53984920","0,98935794","0,4750"
"3,5","13,73","2,55223068","1,00560169","0,4750"
"3,5","13,73","2,56461215","1,02174164","0,4750"
"3,5","13,73","2,57699362","1,03770473","0,4750"
"3,5","13,73","2,58937509","1,05384852","0,4750"
"3,5","13,73","2,60175656","1,07034602","0,4750"
"3,5","13,73","2,61413804","1,08718570","0,4750"
"3,5","13,73","2,62651951","1,10423299","0,4750"
"3,5","13,73","2,63890098","1,12145329","0,4750"
"3,5","13,73","2,65128245","1,13874664","0,4750"
"3,5","13,73","2,66366393","1,15601692","0,4750"
"3,5","13,73","2,67604540","1,17332949","0,4750"
"3,5","13,73","2,68842687","1,19056517","0,4750"
"3,5","13,73","2,70080834","1,20783545","0,4750"
"3,5","13,73","2,71318981","1,22499039","0,4750"
"3,5","13,73","2,72557129","1,24202230","0,4750"
"3,5","13,73","2,73795276","1,25900038","0,4750"
"3,5","13,73","2,75033423","1,27584006","0,4750"
"3,5","13,73","2,76271570","1,29244906","0,4750"
"3,5","13,73","2,77509718","1,30879277","0,4750"
"3,5","13,73","2,78747865","1,32494041","0,4750"
"3,5","13,73","2,79986012","1,34080354","0,4750"
"3,5","13,73","2,81224159","1,35616301","0,4750"
"3,5","13,73","2,82462306","1,37118032","0,4750"
"3,5","13,73","2,83700454","1,38574010","0,4750"
"3,5","13,73","2,84938601","1,39985390","0,4750"
"3,5","13,73","2,86176748","1,41352172","0,4750"
"3,5","13,73","2,87414895","1,42687812","0,4750"
"3,5","13,73","2,88653043","1,43985006","0,4750"
"3,5","13,73","2,89891190","1,45230296","0,4750"
