Modelo;Normalizador;RMSE_Teste_Média;RMSE_Teste_DP;RMSE_Treino_Média;RMSE_Treino_DP;MAE_Teste_Média;MAE_Teste_DP;MAE_Treino_Média;MAE_Treino_DP
MLP tanh lr 0.01;Standard;0,6764491777380836;;0,6610491019744198;;0,4430638164572988;;0,4399163729697361;
MLP sigmoid lr 0.01;Standard;0,7807959694823362;;0,7937888509637003;;0,5670989926338705;;0,5705602727890291;
MLP relu lr 0.01;Standard;0,6779393953115764;;0,6513383849421152;;0,4451123047549932;;0,4452442625156717;
MLP tanh lr 0.005;Standard;0,6987227778771067;;0,6965951123138425;;0,4833494096268462;;0,478802112405858;
MLP sigmoid lr 0.005;Standard;0,7921164093492993;;0,8065036256568682;;0,5671620489072483;;0,5749382501211998;
MLP relu lr 0.005;Standard;0,6772865114844993;;0,6530190481742485;;0,45538299565357215;;0,451259685447946;
SVM rbf epsilon 0.1;Standard;0,6810904221599349;;0,6712864390555701;;0,44472287268131017;;0,44206564724588193;
SVM linear epsilon 0.1;Standard;2,004892836784279;;1,982996041666854;;1,2852063975764445;;1,2383014278885371;
SVM poly epsilon 0.1;Standard;2,044429967338783;;2,0121805276071374;;1,2978356115166143;;1,2350520859996077;
SVM rbf epsilon 0.3;Standard;0,7182370813247922;;0,7012802440708894;;0,5418384667708976;;0,5302562789210231;
SVM linear epsilon 0.3;Standard;1,9702539878909888;;1,9474801445130825;;1,2948884492207542;;1,2410269271438703;
SVM poly epsilon 0.3;Standard;1,9856122276099624;;1,9576052188102337;;1,308361505922259;;1,249315872862429;
RL MQO;Standard;1,8230021446303588;;1,8079240870099673;;1,3930556157087906;;1,3436338620677084;
RL Ridge alpha 0.1;Standard;1,823001957153038;;1,8079240875133245;;1,3930472668022607;;1,3436258437640463;
RL Lasso alpha 0.1;Standard;1,847511540079951;;1,8256645783882652;;1,3785823204676937;;1,3207643180681627;
RL Lasso alpha 0.5;Standard;2,0222695443870724;;2,0057444908458644;;1,5248813722574563;;1,4838384340903432;
RL Ridge alpha 10;Standard;1,8229885492069533;;1,8079290718528913;;1,3922246551110975;;1,342835883592378;
RL Lasso alpha 1;Standard;2,0222695443870724;;2,0057444908458644;;1,5248813722574563;;1,4838384340903432;
MLP tanh lr 0.01;MinMax;0,982432955920756;;1,005538079267758;;0,7493026887318608;;0,7653431776917092;
MLP sigmoid lr 0.01;MinMax;1,822895001277579;;1,8101880856747516;;1,4004095252361475;;1,357079606633657;
MLP relu lr 0.01;MinMax;1,0395306726715956;;1,0529357631466463;;0,7626048255947724;;0,7670721422034772;
MLP tanh lr 0.005;MinMax;1,309183251900837;;1,3517161794739598;;1,0000099766099222;;1,0356574140153316;
MLP sigmoid lr 0.005;MinMax;1,8228936444450257;;1,8104132463434435;;1,4006099013976725;;1,357723079265866;
MLP relu lr 0.005;MinMax;1,1613190273378793;;1,198994458227959;;0,8610496293665156;;0,8932878272215895;
SVM rbf epsilon 0.1;MinMax;0,8142486806444675;;0,7814573849423029;;0,6654810366306185;;0,6525575501086025;
SVM linear epsilon 0.1;MinMax;1,934738743070215;;1,9146307019158417;;1,3403195307575528;;1,2816289449078615;
SVM poly epsilon 0.1;MinMax;1,876612266447925;;1,8723487920383157;;1,2770967312588168;;1,243927011920553;
SVM rbf epsilon 0.3;MinMax;1,748919923909704;;1,7629729659312328;;1,603384454651732;;1,640238149848109;
SVM linear epsilon 0.3;MinMax;2,306126960871518;;2,319926160107951;;2,0614359567186358;;2,0924740907030177;
SVM poly epsilon 0.3;MinMax;2,1373953179731195;;2,128356769152743;;1,8256463106594631;;1,8179270540905887;
RL MQO;MinMax;1,823002144630359;;1,807924087009967;;1,3930556157087879;;1,3436338620677046;
RL Ridge alpha 0.1;MinMax;1,8230039458135736;;1,8079241836387387;;1,3929499064504038;;1,343526366121243;
RL Lasso alpha 0.1;MinMax;2,0222695443870724;;2,0057444908458644;;1,524881372257456;;1,4838384340903432;
RL Lasso alpha 0.5;MinMax;2,0222695443870724;;2,0057444908458644;;1,524881372257456;;1,4838384340903432;
RL Ridge alpha 10;MinMax;1,8239843036970442;;1,8087676562519621;;1,3834123316568976;;1,333947570096155;
RL Lasso alpha 1;MinMax;2,0222695443870724;;2,0057444908458644;;1,524881372257456;;1,4838384340903432;
